node_id,pi_rank,layer,slot
1,135,8,10
2,54,0,48
3,58,2,2
4,144,8,13
5,33,0,52
6,101,4,10
7,53,0,53
8,37,0,31
9,52,0,27
10,36,0,54
11,50,0,40
12,49,0,51
13,76,3,25
14,86,3,16
15,40,0,38
16,48,0,44
17,47,0,50
18,45,0,49
19,56,2,6
20,103,4,17
21,75,3,18
22,51,0,37
23,3,0,46
24,74,3,4
25,139,8,2
26,73,3,19
27,112,5,5
28,46,0,26
29,102,4,15
30,143,8,8
31,145,8,6
32,4,0,23
33,107,4,16
34,125,6,5
35,44,0,47
36,43,0,28
38,39,0,29
39,38,0,34
40,35,0,43
41,108,4,12
42,5,0,45
43,72,3,23
44,124,6,6
45,34,0,41
46,90,3,27
47,110,4,11
48,136,8,11
49,138,8,12
50,31,0,35
51,77,3,12
52,131,7,1
53,133,8,1
54,6,0,19
55,117,5,1
56,84,3,1
57,123,6,2
58,83,3,7
59,29,0,13
60,109,4,3
61,113,5,2
62,9,0,7
63,28,0,12
64,27,0,22
65,0,0,0
66,7,0,16
67,96,4,0
68,26,0,2
69,1,0,1
70,25,0,11
71,105,4,9
72,8,0,14
73,2,0,4
74,122,6,1
75,121,6,0
76,24,0,10
77,30,0,18
78,81,3,0
79,104,4,1
80,93,3,3
81,91,3,11
82,132,7,3
83,129,7,2
84,10,0,3
85,11,0,8
86,94,4,2
87,95,4,8
88,82,3,8
89,99,4,7
90,85,3,9
91,106,4,4
92,55,1,0
93,146,8,7
94,12,0,20
95,134,8,0
96,100,4,5
97,147,8,14
98,130,7,0
99,97,4,6
100,140,8,3
101,141,8,4
102,119,6,4
103,126,7,4
104,118,5,4
105,87,3,14
106,71,3,13
107,23,0,6
108,22,0,15
109,70,3,6
110,80,3,2
111,21,0,21
112,69,3,5
113,20,0,9
114,19,0,5
115,98,4,13
116,61,2,0
117,57,2,5
118,68,3,15
119,92,3,10
120,116,5,0
121,18,0,25
122,17,0,17
123,120,6,3
124,115,5,3
125,16,0,42
126,66,3,22
127,15,0,30
128,67,3,17
129,127,7,5
130,79,3,21
131,64,2,9
132,62,2,1
133,89,3,24
134,137,8,9
135,128,7,6
136,14,0,24
137,88,3,26
138,60,2,3
139,78,3,20
140,59,2,7
141,32,0,39
142,63,2,8
143,114,5,6
144,13,0,32
145,111,4,14
146,65,2,4
147,142,8,5
148,41,0,36
149,42,0,33
